Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
sec_contact_sym_mig	Round_4_Replicate_6	-7603.66	15217.32	15098.76	44902.43	0.4898,0.8907,1.0862,2.3677,1.4737	
sec_contact_sym_mig	Round_4_Replicate_34	-7784.51	15579.02	14381.8	61899.64	0.3939,0.602,1.3729,1.8659,1.6261	
sec_contact_sym_mig	Round_4_Replicate_26	-7992.22	15994.44	15126.77	35818.97	0.5769,1.1236,0.7986,3.378,1.9439	
sec_contact_sym_mig_size	Round_4_Replicate_14	-7354.77	14723.54	14143.4	92972.77	0.8228,2.333,0.2399,0.4236,2.1695,0.1769,0.7778	
sec_contact_sym_mig_size	Round_4_Replicate_3	-7709.6	15433.2	14205.48	79677.17	2.1812,0.9375,0.2787,0.5234,1.6053,0.1554,0.5387	
sec_contact_sym_mig_size	Round_4_Replicate_8	-7728.87	15471.74	14120.53	64336.66	1.0908,1.3307,0.409,0.5953,1.4054,0.439,0.3703	
sec_contact_sym_mig_size	Round_4_Replicate_1	-7739.17	15492.34	14351.47	77589.44	1.8609,1.0282,0.3121,0.458,1.8502,0.3015,0.4383	
sec_contact_sym_mig_size	Round_3_Replicate_8	-7769.36	15552.72	14067.78	68278.11	1.2641,1.1993,0.384,0.5708,1.37,0.346,0.4501	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_38	-5231.5	10475.0	9072.46	94130.71	0.2671,0.4808,5.1107,0.0582,0.946,0.0625	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_10	-5878.92	11769.84	10324.5	77172.96	0.3478,0.5993,3.508,0.067,0.9551,0.0599	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_34	-6285.93	12583.86	10816.48	66744.03	0.4237,0.6818,3.1502,0.1258,3.0008,0.0825	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_13	-6426.7	12865.4	11153.81	102264.78	0.2727,0.4459,5.4215,0.1362,2.7236,0.062	
sec_contact_sym_mig_three_epoch	Round_4_Replicate_25	-6855.65	13723.3	12017.17	85965.1	0.3263,0.5368,9.5512,0.0521,1.289,0.0952	
sym_mig	Round_4_Replicate_5	-7335.87	14679.74	13935.91	171790.74	0.1378,0.2398,3.743,1.2036	
sym_mig	Round_3_Replicate_6	-7337.51	14683.02	13806.99	140651.84	0.1668,0.2869,3.069,1.1294	
sym_mig	Round_4_Replicate_34	-7340.44	14688.88	13803.96	198010.71	0.1208,0.2036,4.3115,1.0832	
sym_mig	Round_4_Replicate_13	-7349.65	14707.3	14239.05	131461.29	0.1777,0.3129,2.9732,1.167	
sym_mig	Round_4_Replicate_38	-7351.56	14711.12	13950.64	126349.94	0.1803,0.3123,2.8693,0.9274	
sym_mig_size	Round_4_Replicate_24	-7327.17	14668.34	13969.54	101874.83	22.7067,0.4785,0.2336,0.4011,2.2522,0.1127,1.1518	
sym_mig_size	Round_4_Replicate_36	-7425.54	14865.08	14003.92	97717.01	12.2573,0.4927,0.2509,0.4298,2.0534,0.1206,1.6071	
sym_mig_size	Round_4_Replicate_14	-7517.05	15048.1	14361.03	75279.8	29.8947,0.9413,0.334,0.5645,1.6069,0.1868,1.2759	
sym_mig_size	Round_4_Replicate_17	-7522.95	15059.9	14455.62	114248.82	20.3321,0.3655,0.218,0.3742,2.4521,0.2045,2.1557	
sym_mig_size	Round_4_Replicate_30	-7589.0	15192.0	14215.17	146091.06	19.5106,0.7727,0.1721,0.2929,2.955,0.0907,2.4554	
sym_mig_twoepoch	Round_4_Replicate_2	-7474.94	14961.88	14137.33	119098.29	0.2077,0.3567,9.1037,2.4888,0.3147,1.3786	
sym_mig_twoepoch	Round_4_Replicate_19	-7568.01	15148.02	14228.01	88720.34	0.287,0.4801,3.3911,1.8212,0.3339,1.366	
sym_mig_twoepoch	Round_2_Replicate_11	-7642.06	15296.12	14269.36	88064.26	0.2878,0.4865,5.621,1.7613,0.2285,2.1371	
sym_mig_twoepoch	Round_4_Replicate_21	-7645.65	15303.3	14557.86	69079.31	0.3671,0.6296,10.8407,1.4304,0.1172,4.5692	
sym_mig_twoepoch	Round_4_Replicate_6	-7723.25	15458.5	15043.58	100458.47	0.2487,0.4376,7.516,2.1547,0.2258,3.7439	
